ID,Form_ID,Form,Cognateset_ID,Alignment,Doubt,Cognate_detection_method,Cognate_source,Alignment_method,Alignment_source,Segment_slice
2,6187,ŋ ɑ ²²,p91,ŋ ɑ ²²,,expert,Hill2017,LingPy:SCA,,1
3,6259,ŋ o ⁵¹,p91,ŋ o ⁵¹,,expert,Hill2017,LingPy:SCA,,1
4,6348,ŋ ɔ ³¹,p91,ŋ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,1
5,6432,ŋ o ³¹,p91,ŋ o ³¹,,expert,Hill2017,LingPy:SCA,,1
6,6489,ŋ ɔ ⁵⁵,p91,ŋ ɔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
7,6549,ŋ a ⁵⁵,p91,ŋ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
8,6631,ŋ ɔ ⁵⁵,p91,ŋ ɔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
9,7149,ŋ a ²²,p91,ŋ a ²²,,expert,Hill2017,LingPy:SCA,,1
10,6324,tʰ o ʔ ⁵⁵ + m a i ²¹,p3,tʰ o ʔ ⁵⁵ + m a i ²¹,,expert,Hill2017,LingPy:SCA,,1
11,6324,tʰ o ʔ ⁵⁵ + m a i ²¹,p4,tʰ o ʔ ⁵⁵ + m a i ²¹,,expert,Hill2017,LingPy:SCA,,2
12,6414,ɑ ⁵³ + tʰ ɛ ʔ,p1292,ɑ ⁵³ - + tʰ ɛ ʔ -,,expert,Hill2017,LingPy:SCA,,1
13,6414,ɑ ⁵³ + tʰ ɛ ʔ,p3,ɑ ⁵³ - + tʰ ɛ ʔ -,,expert,Hill2017,LingPy:SCA,,2
14,6450,a ³¹ + tʰ a ʔ ⁵⁵,p1292,a ³¹ - + tʰ a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
15,6450,a ³¹ + tʰ a ʔ ⁵⁵,p3,a ³¹ - + tʰ a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
